
8.802+49.037i 13.489+53.078i 21.148+45.044i 4.306+50.599i 4.197+39.727i 
5.879+35.744i 7.676+34.095i 17.755+37.049i 3.608+42.492i 3.241+24.95i 
-1.344+38.616i -5.001+39.466i 7.231+36.322i -4.917+35.989i -1.894+28.62i 
4.136+36.636i 6.188+39.047i 11.044+45.71i -6.159+43.495i 0.966+28.128i 
7.562+34.247i 1.151+42.668i 6.025+36.986i -1.348+26.103i -5.231+34.522i 

-10.278+22.46i 7.509+31.882i -1.367+31.968i 1.703+21.242i 2.887+23.526i 
-10.208+28.97i 11.341+37.887i 5.383+37.411i 4.627+24.454i 6.234+25.846i 
-6.905+28.755i -0.742+37.207i 2.576+37.487i -1.244+23.077i 3.33+27.123i 
0.454+28.509i 8.338+30.126i 3.425+37.754i -0.115+20.243i 7.421+26.896i 
0.894+20.189i 6.042+21.852i 1.747+23.132i 0.616+11.258i 3.292+16.536i 

-4.629+55.534i 5.995+43.024i -18.873+47.315i 3.684+34.034i 2.218+47.869i 
4.298+49.069i 5.278+37.967i -10.855+42.742i 6.177+29.382i 12.445+44.078i 
14.127+35.638i 9.761+32.848i -7.157+38.23i 6.17+19.848i 11.862+27.768i 
-8.23+32.848i -10.779+22.594i -22.368+26.081i -5.552+18.092i -4.646+28.89i 
-10.837+43.873i -0.024+39.136i -15.217+37.292i 6.982+31.262i -0.448+42.79i 

-2.182+46.105i -9.902+42.283i -9.623+38.956i -15.193+35.827i -11.497+41.302i 
1.332+30.019i -5.829+33.915i -1.362+30.255i -5.135+33.319i -1.943+32.623i 
2.806+31.329i -2.416+39.914i 5.905+33.987i -2.263+31.592i -7.184+30.998i 
-6.347+25.945i -9.85+30.267i -4.039+24.006i -10.196+24.514i -7.599+27.689i 
4.045+39.132i -9.243+48.645i 1.664+34.483i -12.218+40.564i -10.991+46.073i 

-8.194+23.971i -2.666+28.178i -0.139+20.232i -9.409+32.786i 4.833+32.624i 
2.291+37.247i -1.086+46.325i 2.042+24.174i 1.485+46.398i 16.156+48.084i 
-8.922+39.008i -14.052+50.217i -3.529+19.1i -2.66+52.1i 0.102+51.477i 
-7.524+41.792i -15.833+48.448i -3.559+22.817i -5.959+57.28i -0.319+55.779i 
1.868+23.875i -0.857+34.744i -4.236+16.303i 1.375+35.953i 10.861+33.328i 

19.736+36.605i 18.819+29.675i 4.114+30.465i 6.646+27.384i 9.966+26.559i 
8.313+33.689i 2.86+27.609i -1.678+24.501i 0.102+28.263i 2.037+24.796i 
13.491+33.435i 11.726+32.606i 0.913+24.882i 6.739+34.147i 7.404+32.159i 
16.53+39.469i 15.66+35.118i -3.657+32.277i 3.816+36.353i 11.133+37.79i 
9.916+41.672i 7.848+40.458i -0.294+29.004i -0.787+36.988i -2.971+38.046i 

5.061+26.286i -7.952+33.472i -11.691+36.153i 2.593+35.309i 0.334+38.476i 
4.756+33.988i -3.772+40.963i -7.681+54.037i -5.8+38.946i 9.311+41.022i 
17.733+27.266i 8.906+31.168i 9.103+50.955i 6.907+31.018i 23.388+34.208i 
6.761+40.407i 3.215+42.508i -16.402+55.105i 0.705+45.253i 14.178+47.124i 
8.532+38.624i -7.912+37.723i -18.917+52.836i -1.525+40.237i 5.758+46.111i 

0.346+33.183i 1.962+42.998i -5.93+39.723i -4.785+40.216i -3.619+42.544i 
3.163+29.08i 9.797+42.963i -0.557+41.369i -0.63+37.048i 3.723+39.86i 
2.502+37.789i 4.561+40.82i -4.002+46.836i 0.112+38.946i 0.001+43.217i 
5.537+37.089i 7.414+42.407i 0.191+40.531i 0.743+39.044i 7.545+42.851i 
13.464+34.018i 15.997+37.623i 3.801+43.636i 10.073+43.345i 11.081+43.317i 

4.1+37.642i -0.65+37.536i 9.808+46.229i 14.575+30.625i 8.985+36.471i 
3.712+28.658i -5.331+29.218i 6.119+32.556i 7.603+25.378i 11.679+29.632i 
0.207+42.97i -6.236+37.779i 6.16+48.663i 9.525+34.166i 5.882+43.792i 
-7.494+37.839i -10.557+31.751i 2.417+40.959i 0.33+33.779i 2.626+47.888i 
-9.376+31.178i -12.144+32.451i 0.245+41.728i -0.518+32.667i -6.818+38.685i 

-0.768+33.485i 5.733+24.694i 5.712+27.879i -5.092+26.971i -11.071+35.206i 
3.303+26.336i 8.918+26.716i 1.675+24.491i -0.01+26.145i -2.564+29.709i 
-3.57+39.349i 10.221+36.249i 5.028+37.906i -5.311+31.837i -10.75+38.93i 
-10.797+34.088i 8.044+34.645i -2.498+33.952i -11.229+32.273i -12.597+31.178i 
-4.994+34.733i 0.86+36.969i 1.046+26.322i -5.897+35.073i -7.432+34.413i 

4.06+37.472i -3.131+33.658i -1.6+27.407i -14.674+38.8i -23.367+36.793i 
-0.543+51.762i -10.638+39.968i -8.574+39.525i -18.98+45.221i -29.197+45.784i 
27.451+37.453i 9.057+39.214i 15.8+34.005i 8.317+44.75i -0.776+49.199i 
21.272+29.394i 1.222+33.544i 14.127+29.745i 4.267+35.283i -4.322+34.687i 
9.139+34.503i 0.466+32.592i 6.17+32.589i -3.752+30.296i -11.115+37.442i 

7.298+37.392i 1.981+34.514i 0.244+28.969i -3.934+28.898i -3.47+28.939i 
13.53+37.42i 9.084+30.375i 8.322+32.252i 6.459+38.396i 2.199+36.048i 
6.628+36.913i -6.329+34.487i 6.322+27.923i -1.468+26.397i 0.567+34.166i 
2.651+41.383i -2.069+44.232i 3.932+21.268i -13.25+33.948i -0.922+27.977i 
2.724+39.559i 3.133+36.638i -0.087+35.023i -6.363+38.459i -9.241+33.25i 

3.875+36.237i 1.346+42.113i -4.249+38.884i 10.253+45.403i 15.272+45.326i 
1.058+30.725i -6.557+38.043i -11.939+30.717i -1.632+36.725i 0.463+37.851i 
-6.255+24.879i -6.402+34.246i -11.647+30.451i -5.632+31.702i -3.25+34.74i 
1.536+24.431i 5.756+41.71i -6.212+36.97i 0.698+31.778i 6.71+35.674i 
-10.371+34.492i -10.535+35.875i -16.068+32.512i -5.005+45.053i -1.021+42.335i 

-10.153+25.19i -4.006+22.605i -0.316+28.343i -6.896+25.606i -10.458+26.777i 
-4.194+32.036i 6.25+22.491i 13.635+33.009i 1.353+35.683i -2.224+28.584i 
-4.481+32.945i 2.643+27.887i 5.426+35.229i -2.197+36.976i -6.168+42.55i 
-16.367+40.382i -3.591+32.316i 7.042+38.025i -14.77+41.343i -13.77+39.576i 
-1.62+33.96i 1.042+30.872i 6.041+38.131i -9.993+36.549i -7.334+34.093i 

-13.013+30.86i -7.741+23.421i -10.282+33.774i 8.092+28.446i -1.972+27.727i 
-5.753+38.678i -2.454+30.03i -0.228+34.391i 14.465+29.275i 4.019+35.331i 
-9.53+39.433i -7.55+35.506i -2.025+45.991i 13.276+29.917i -1.441+32.039i 
-6.084+50.084i -1.413+42.906i 0.863+53.128i 11.2+35.122i 1.298+39.539i 
7.292+46.329i 11.36+33.882i 16.011+45.722i 23.064+26.346i 15.03+28.786i 

9.859+42.351i 18.858+48.882i 12.46+45.493i 11.892+36.605i 4.284+48.676i 
12.381+29.556i 20.839+38.307i 17.785+34.98i 13.171+27.654i 11.49+39.216i 
10.236+34.007i 21.872+41.012i 13.324+30.489i 13.429+24.956i 7.398+42.54i 
2.672+33.221i 9.791+32.843i 16.93+32.931i 5.774+20.107i 8.594+29.67i 
-3.594+28.719i 1.541+35.013i -2.016+27.848i -2.436+21.259i -4.556+30.464i 

-2.381+20.413i 5.041+24.402i -6.433+39.59i 8.085+34.704i -7.252+28.307i 
-7.007+19.332i 0.383+24.018i -7.056+32.489i -1.591+32.346i -8.15+20.412i 
-4.771+22.199i 2.474+30.248i -4.997+37.32i 14.75+40.208i -3.563+29.8i 
-5.032+19.565i 1.067+27.787i -2.952+32.62i 5.45+42.819i -5.075+27.473i 
-2.388+18.606i 5.23+24.039i -3.589+39.259i 5.051+37.178i -6.305+27.561i 

3.086+33.152i 7.299+35.498i 13.737+34.281i 8.649+27.718i 22.933+33.915i 
5.856+31.717i 10.514+36.102i 12.08+33.446i 8.666+28.323i 19.548+34.472i 
-0.613+30.593i -2.487+29.854i 6.107+32.24i 1.092+24.282i 13.887+34.306i 
8.012+28.41i 11.106+36.243i 15.145+37.186i 11.145+21.837i 23.356+31.948i 
-0.028+34.679i -5.076+38.404i 7.019+34.881i -0.828+28.801i 20.469+36.981i 

9.437+33.871i -1.946+34.081i -0.021+42.057i -6.122+23.674i 9.926+29.71i 
-5.865+32.2i -7.61+31.393i -5.383+40.856i -12.525+26.617i 9.277+28.021i 
9.572+41.005i -1.435+42.544i 2.25+40.52i -9.59+32.92i 10.533+24.176i 
4.009+49.366i -8.163+45.081i -3.265+45.818i -10.413+37.202i 5.719+33.916i 
-0.433+34.029i -11.548+27.116i 2.839+26.94i -8.746+22.272i 4.325+19.98i 

-1.064+27.51i 11.766+26.306i 8.095+31.853i -3.02+35.545i -10.643+47.116i 
6.935+28.897i 16.481+37.511i 1.654+29.418i 2.52+34.972i -0.641+44.919i 
-0.2+23.558i 9.589+28.561i 0.456+26.046i -0.207+34.276i -8.288+41.723i 
-0.582+21.317i 9.289+22.373i 4.428+19.33i 4.934+25.712i -0.349+39.378i 
-9.964+21.045i 1.527+29.54i -7.008+21.748i -7.873+29.761i -16.39+40.538i 

8.101+26.824i 1.279+28.943i 8.154+24.362i 7.174+35.93i -5.932+24.676i 
2.883+31.165i 1.046+37.2i 9.685+29.019i -1.085+38.044i -5.461+27.308i 
2.958+33.387i 3.58+39.401i 7.637+34.829i -4.654+42.866i -7.909+33.967i 
14.434+22.389i 10.97+39.867i 18.289+28.512i 8.625+45.59i 8.102+34.063i 
9.719+34.183i 14.609+41.081i 18.465+32.695i 4.8+42.523i 2.185+31.75i 

-4.336+35.352i 13.336+64.173i 7.331+54.931i -10.173+42.742i 7.543+59.268i 
-9.891+24.404i -0.727+45.254i -3.243+37.715i -15.546+29.902i -4.044+40.707i 
-10.542+23.072i -0.466+42.883i 3.448+33.895i -12.646+29.472i -0.657+35.317i 
-9.175+23.548i 5.887+39.184i 4.158+34.93i -5.487+24.149i 5.679+36.539i 
